index;q;r;shape;fuel_type;pos_label;factory_id
1;-11;4;circle;9;1-1;347
2;-11;5;circle;8;1-2;316
3;-11;6;circle;8;1-3;324
4;-11;7;circle;8;1-4;323
5;-10;1;circle;7;2-1;305
6;-10;2;circle;7;2-2;325
7;-10;3;circle;8;2-3;273
8;-10;4;circle;6;2-4;240
9;-10;5;circle;6;2-5;265
10;-10;6;circle;6;2-6;241
11;-10;7;circle;8;2-7;282
12;-10;8;circle;7;2-8;309
13;-10;9;circle;7;2-9;322
14;-9;-1;circle;7;3-1;313
15;-9;0;circle;7;3-2;245P
16;-9;1;circle;6;3-3;257
17;-9;2;circle;5;3-4;183
18;-9;3;circle;5;3-5;202
19;-9;4;circle;5;3-6;194
20;-9;5;circle;5;3-7;176
21;-9;6;circle;5;3-8;192
22;-9;7;circle;5;3-9;195
23;-9;8;circle;6;3-10;244
24;-9;9;circle;7;3-11;250
25;-9;10;circle;7;3-12;310
26;-8;-2;circle;7;4-1;308
27;-8;-1;circle;6;4-2;260
28;-8;0;circle;5;4-3;212
29;-8;1;circle;5;4-4;193
30;-8;2;circle;4;4-5;115
31;-8;3;circle;4;4-6;113
32;-8;4;circle;1;4-7;333
33;-8;5;circle;4;4-8;116
34;-8;6;circle;4;4-9;109
35;-8;7;circle;5;4-10;229
36;-8;8;circle;5;4-11;191
37;-8;9;circle;6;4-12;303
38;-8;10;circle;7;4-13;304
39;-7;-4;circle;8;5-1;321
40;-7;-3;circle;8;5-2;275
41;-7;-2;circle;5;5-3;184
42;-7;-1;circle;5;5-4;198
43;-7;0;circle;4;5-5;233
44;-7;1;circle;4;5-6;174
45;-7;2;circle;4;5-7;144
46;-7;3;circle;1;5-8;338P
47;-7;4;circle;1;5-9;342
48;-7;5;circle;4;5-10;157
49;-7;6;circle;4;5-11;122
50;-7;7;circle;4;5-12;149
51;-7;8;circle;5;5-13;177
52;-7;9;circle;5;5-14;226
53;-7;10;circle;8;5-15;326
54;-7;11;circle;8;5-16;288
55;-6;-5;circle;8;6-1;284
56;-6;-4;circle;6;6-2;261
57;-6;-3;circle;5;6-3;204
58;-6;-2;circle;4;6-4;97
59;-6;-1;circle;4;6-5;98
60;-6;0;circle;4;6-6;140
61;-6;1;circle;4;6-7;175
62;-6;2;circle;4;6-8;132
63;-6;3;circle;4;6-9;127P
64;-6;4;circle;4;6-10;164
65;-6;5;circle;4;6-11;166
66;-6;6;circle;4;6-12;102
67;-6;7;circle;4;6-13;168
68;-6;8;circle;4;6-14;123
69;-6;9;circle;5;6-15;216
70;-6;10;circle;6;6-16;262
71;-6;11;circle;8;6-17;297
72;-5;-6;circle;8;7-1;291
73;-5;-5;circle;6;7-2;249
74;-5;-4;circle;5;7-3;181
75;-5;-3;circle;4;7-4;73
76;-5;-2;circle;4;7-5;169
77;-5;-1;circle;4;7-6;145
78;-5;0;circle;4;7-7;57
79;-5;1;circle;4;7-8;91
80;-5;2;circle;4;7-9;94
81;-5;3;circle;4;7-10;59
82;-5;4;circle;4;7-11;66
83;-5;5;circle;4;7-12;230
84;-5;6;circle;4;7-13;103
85;-5;7;circle;4;7-14;160
86;-5;8;circle;4;7-15;75
87;-5;9;circle;5;7-16;221
88;-5;10;circle;6;7-17;263
89;-5;11;circle;8;7-18;294
90;-4;-7;circle;8;8-1;281
91;-4;-6;circle;6;8-2;251
92;-4;-5;circle;5;8-3;182
93;-4;-4;circle;1;8-4;329
94;-4;-3;circle;1;8-5;344
95;-4;-2;circle;4;8-6;107
96;-4;-1;circle;4;8-7;101
97;-4;0;circle;4;8-8;111
98;-4;1;circle;3;8-9;20P
99;-4;2;circle;3;8-10;48
100;-4;3;circle;3;8-11;21
101;-4;4;circle;4;8-12;56
102;-4;5;circle;4;8-13;119
103;-4;6;circle;4;8-14;106
104;-4;7;circle;1;8-15;339
105;-4;8;circle;1;8-16;337
106;-4;9;circle;5;8-17;227
107;-4;10;circle;6;8-18;264
108;-4;11;circle;8;8-19;296
